,,,,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year
ADB_Basic Statistics,HIV prevalence rate,15-49 yr Total,Percent,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,
ADB_Basic Statistics,Incidence of malaria,Total,"Per 100,000 population",,,,,,,,,,,,,,,,,,,"5,467",,,,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Incidence of tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,381,,,377,,,373,,,369,,365,,,361,,358,,338,,322,,308,,
ADB_Basic Statistics,Infant mortality rate,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,48,,,41,,,40,,,,,40,,,,,,,,,,,,,
ADB_Basic Statistics,Internet users,Total,Per 100 population,,,,,,,,,,,,,,,,1,,,1,,,1,,,2,,,,,,,,,,,,,,,
ADB_Basic Statistics,Land area covered by forest,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,44,,
ADB_Basic Statistics,Literacy rate of 15-24 year-olds,Female,Percent,,,,,,,,,,,,,,,,96,,,,,,,,,,,96,,,,,,,,,,,,,
ADB_Basic Statistics,Literacy rate of 15-24 year-olds,Male,Percent,,,,,,,,,,,,,,,,96,,,,,,,,,,,96,,,,,,,,,,,,,
ADB_Basic Statistics,Literacy rate of 15-24 year-olds,Total,Percent,,,,,,,,,,,,,,,,96,,,,,,,,,,,96,,,,,,,,,,,,,
ADB_Basic Statistics,Maternal mortality ratio,Total,"Deaths per 100,000 live births",,,,,,,,,,,,,,,,,,,,,,200,,,,,178,,,,,250,,,,,,,,
ADB_Basic Statistics,Mobile Phone,Total,Per 100 population,,,,,,,,,,,,,,,,3,,,10,,,13,,,54,,,,,,,,,,,,,,,
ADB_Basic Statistics,Neonatal mortality rate,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,25,,24,,23,,22,,22,,
ADB_Basic Statistics,Net enrolment ratio in Primary education,Female,Percent,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,
ADB_Basic Statistics,Net enrolment ratio in Primary education,Male,Percent,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,
ADB_Basic Statistics,Net enrolment ratio in Primary education,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,
ADB_Basic Statistics,Population density,Total,Number per square kilometer,,,,,,,,,,,,,,,,90,,,90,,,91,,,76,,77,,,78,,78,,80,,80,,81,82,
ADB_Basic Statistics,Population size,Total,In thousand,,,,,,,,,,,,,,,,"60,620",,,"61,120",,,"61,650",,,"51,420",,"52,120",,,"52,910",,"53,010",,"53,860",,"54,340",,"54,820","55,290",
ADB_Basic Statistics,Prevalence of tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,506,,,489,,,473,,,457,,,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of births attended by skilled health personnel,Total,Percent,,,,,,,,,,,,,,,,,,,71,,,,,,71,,,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of population below the national poverty line,Total,Percent,,,,,,,,,,,,,,,,26,,,26,,,26,,,26,,26,,,32,,25,,,,,,,,
ADB_Basic Statistics,Proportion of Population with Access to Electricity,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,57,,70,,,,68,,70,,
ADB_Basic Statistics,Proportion of Population with Access to Improved Sanitation,Rural,Percent,,,,,,,,,,,,,,,,,,,74,,,,,,,,77,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of Population with Access to Improved Sanitation,Total,Percent,,,,,,,,,,,,,,,,,,,77,,,,,,,,80,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of Population with Access to Improved Sanitation,Urban,Percent,,,,,,,,,,,,,,,,,,,84,,,,,,,,84,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of pupils starting grade 1 who reach grade 5,Female,Percent,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of pupils starting grade 1 who reach grade 5,Male,Percent,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of pupils starting grade 1 who reach grade 5,Total,Percent,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Proportion of seats held by women in national  parliament,Total,Percent,,,,,,,,,,,,,,,,4,,,4,,,6,,,6,,10,,,10,,10,,11,,11,,17,,
ADB_Basic Statistics,Proportion of terrestrial and marine areas protected,Total,Percent,,,,,,,,,,,,,,,,,,,6,,,,,,4,,,,,0,,,,1,,2,,1,1,
ADB_Basic Statistics,Proportion of urban population living in slums,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
ADB_Basic Statistics,Ratio of girls to boys in education level (Primary schools),Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,
ADB_Basic Statistics,Ratio of girls to boys in education level (Secondary schools),Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,
ADB_Basic Statistics,Ratio of girls to boys in education level (Tertiary),Total,Percent,,,,,,,,,,,,,,,,137,,,123,,,,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Real GDP annual percentage change,Total,Percent,,,,,,,,,,,,,,,,6,,,6,,,8,,,9,,7,,,6,,7,,6,,7,,3,-18,
ADB_Basic Statistics,"Stunting, moderate and severe under five years",Total,Percent,,,,,,,,,,,,,,,,,,,,,,35,,,,,29,,,29,,29,,27,,,,,,
ADB_Basic Statistics,Telephone lines,Total,Per 100 population,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,
ADB_Basic Statistics,Total fertility rate (TFR),Total,Births per woman,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,,2,,,,,,2
ADB_Basic Statistics,Tuberculosis detection rate under DOTS,Total,Percent,,,,,,,,,,,,,,,,74,,,71,,,68,,,70,,,,,,,,,,,,,,,
ADB_Basic Statistics,Under-five mortality rate,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,62,,,52,,,51,,,,,50,,,51,,49,,46,,45,,44,,
ADB_Basic Statistics,Unemployment rate,Female,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,2,,
ADB_Basic Statistics,Unemployment rate,Male,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,0,,1,,
ADB_Basic Statistics,Unemployment rate,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,2,,3,,
ADB_Basic Statistics,"Wasting, moderate and severe under five years",Total,Percent,,,,,,,,,,,,,,,,,,,,,,8,,,,,7,,,7,,7,,7,,,,,,
ADB_Key Indicators for Asia and the Pacific,Adolescent Fertility Rate (15-19 yr),Total,Births per 1000 women,,,,,,,,,,,,,,,,,,,,,,,,,36,,28,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Adult literacy rate,Female,Percent,,,,,,,,,,,,,,,,90,,,,,,,,,,,91,,,72,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Adult literacy rate,Male,Percent,,,,,,,,,,,,,,,,95,,,,,,,,,,,95,,,80,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Adult literacy rate,Total,Percent,,,,,,,,,,,,,,,,92,,,,,,,,,,,93,,,76,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Age dependency ratio,Total,Percent,,,,,,,,,,,,,,,,45,,,44,,,43,,,50,,49,,,49,,48,,47,,47,,68,,
ADB_Key Indicators for Asia and the Pacific,Average annual population growth rate,Total,Percent,,,,,,,,,,,,,,,,1,,,1,,,1,,,2,,1,,,1,,1,,1,,1,,1,,
ADB_Key Indicators for Asia and the Pacific,Children Immunized (Measles),Total,Percent,,,,,,,,,,,,,,,,99,,,84,,,86,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Crude birth rate (CBR),Total,Per 1000 population,,,,,,,,,,,,,,,,,,,17,,,17,,,18,,18,,,18,,18,,18,,17,,,,
ADB_Key Indicators for Asia and the Pacific,Crude death rate (CDR),Total,Per 1000 population,,,,,,,,,,,,,,,,,,,9,,,9,,,8,,8,,,8,,8,,8,,8,,,,
ADB_Key Indicators for Asia and the Pacific,Death rate associated with malaria,Total,"Per 100,000 population",,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Death rate associated with tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,48,,,48,,,49,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Doctors (Physicians),Total,Per 1000 population,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,,,,
ADB_Key Indicators for Asia and the Pacific,Employment-to-population ratio,Total,Percent,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Estimated number of adults living with HIV,Female,In thousand,,,,,,,,,,,,,,,,,,,,,,63,,,,,77,,,81,,,,87,,88,,,,
ADB_Key Indicators for Asia and the Pacific,Estimated number of adults living with HIV,Total,In thousand,,,,,,,,,,,,,,,,210,,,,,,181,,,,,215,,,221,,,,227,,230,,,,
ADB_Key Indicators for Asia and the Pacific,HIV prevalence rate,15-49 yr Total,Percent,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Human development index,Total,Index,,,,,,,,,,,,,,,,0,,,1,,,1,,,1,,1,,,,,1,,1,,1,,,,
ADB_Key Indicators for Asia and the Pacific,Incidence of malaria,Total,"Per 100,000 population",,,,,,,,,,,,,,,,,,,"5,467",,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Incidence of malaria,Total,Per 1000 population,,,,,,,,,,,,,,,,,,,,,,45,,,,,12,,,7,,4,,3,,2,,,,
ADB_Key Indicators for Asia and the Pacific,Incidence of tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,381,,,377,,,373,,,369,,365,,,361,,358,,338,,322,,,,
ADB_Key Indicators for Asia and the Pacific,Infant mortality rate,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,48,,,41,,,,,,,,40,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Internet users,Total,Per 100 population,,,,,,,,,,,,,,,,,,,,,,0,,,0,,22,,,25,,31,,31,,,,,,
ADB_Key Indicators for Asia and the Pacific,Labour force participation rate,15-64 yr Female,Percent,,,,,,,,,,,,,,,,50,,,50,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Labour force participation rate,15-64 yr Male,Percent,,,,,,,,,,,,,,,,82,,,83,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Labour force participation rate,15-64 yr Total,Percent,,,,,,,,,,,,,,,,66,,,66,,,79,,,67,,65,,,,,62,,62,,63,,,,
ADB_Key Indicators for Asia and the Pacific,Land area covered by forest,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,44,,,,,,44,,,,
ADB_Key Indicators for Asia and the Pacific,Life expectancy at birth,Female,Years,,,,,,,,,,,,,,,,67,,,67,,,67,,,68,,68,,,69,,69,,70,,70,,,,
ADB_Key Indicators for Asia and the Pacific,Life expectancy at birth,Male,Years,,,,,,,,,,,,,,,,64,,,63,,,63,,,64,,64,,,64,,64,,64,,64,,,,
ADB_Key Indicators for Asia and the Pacific,Life expectancy at birth,Total,Years,,,,,,,,,,,,,,,,65,,,65,,,65,,,66,,66,,,67,,67,,67,,67,,,,
ADB_Key Indicators for Asia and the Pacific,Literacy rate of 15-24 year-olds,Female,Percent,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Literacy rate of 15-24 year-olds,Male,Percent,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Literacy rate of 15-24 year-olds,Total,Percent,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Mobile Phone,Total,In thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,529",,,"48,728",,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Mobile Phone,Total,Per 100 population,,,,,,,,,,,,,,,,,,,,,,13,,,50,,,,,96,,114,,114,,,,,,
ADB_Key Indicators for Asia and the Pacific,Net international migration rate,Total,Per 1000 population,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Population size,0-14 yr Total,Percent,,,,,,,,,,,,,,,,25,,,25,,,25,,,28,,28,,,27,,27,,26,,26,,26,,
ADB_Key Indicators for Asia and the Pacific,Population size,15-64 yr Total,Percent,,,,,,,,,,,,,,,,70,,,70,,,70,,,67,,67,,,67,,67,,68,,68,,68,,
ADB_Key Indicators for Asia and the Pacific,Population size,65+ yr Total,Percent,,,,,,,,,,,,,,,,5,,,5,,,5,,,5,,5,,,6,,6,,6,,6,,6,,
ADB_Key Indicators for Asia and the Pacific,Population size,Total,In thousand,,,,,,,,,,,,,,,,"60,400",,,"61,000",,,"61,600",,,,,"52,500",,,"52,910",,"53,400",,"53,900",,"54,340",,"54,800",,
ADB_Key Indicators for Asia and the Pacific,Prevalence of tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Primary education completion rate,Female,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,95,,,,,,
ADB_Key Indicators for Asia and the Pacific,Primary education completion rate,Male,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,96,,,,,,
ADB_Key Indicators for Asia and the Pacific,Primary education completion rate,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,96,,95,,,,,,
ADB_Key Indicators for Asia and the Pacific,Proportion of births attended by skilled health personnel,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Proportion of population below minimum level of dietary energy consumption,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population by source of drinking water,Safely Managed_Rural,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,52,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population by source of drinking water,Safely Managed_Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,59,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population by source of drinking water,Safely Managed_Urban,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,74,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population Using Safely Managed Sanitation Services,Rural,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,64,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population Using Safely Managed Sanitation Services,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,61,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population Using Safely Managed Sanitation Services,Urban,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,53,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population with Access to Improved Sanitation,Rural,Percent,,,,,,,,,,,,,,,,74,,,74,,,,,,,,77,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population with Access to Improved Sanitation,Total,Percent,,,,,,,,,,,,,,,,77,,,77,,,,,,,,80,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Proportion of Population with Access to Improved Sanitation,Urban,Percent,,,,,,,,,,,,,,,,84,,,84,,,,,,,,84,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Proportion of urban population living in slums,Total,Percent,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,57,,,,56,,,,,,
ADB_Key Indicators for Asia and the Pacific,Pupil-teacher ratio (Primary schools),Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,23,,26,,,,,,
ADB_Key Indicators for Asia and the Pacific,Pupil-teacher ratio (Secondary schools),Total,Number,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,26,,31,,,,,,
ADB_Key Indicators for Asia and the Pacific,Ratio of girls to boys in education level (Tertiary),Total,Percent,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Telephone lines,Total,In thousand,,,,,,,,,,,,,,,,521,,,556,,,,,,,,524,,,514,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Telephone lines,Total,Per 100 population,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,,,
ADB_Key Indicators for Asia and the Pacific,Total fertility rate (TFR),Total,Births per woman,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,,2,,2,,2,,2,,,,
ADB_Key Indicators for Asia and the Pacific,Tuberculosis detection rate under DOTS,Total,Percent,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Tuberculosis treatment success rate under DOTS,Total,Percent,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Unemployment rate,Female,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Unemployment rate,Male,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Unemployment rate,Total,Percent,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,2,,,,,,,,
ADB_Key Indicators for Asia and the Pacific,Urban Population as Percentage of Total Population,Total,Percent,,,,,,,,,,,,,,,,31,,,31,,,,,,30,,29,,,,,30,,30,,2,,,,
ASEAN_ASEAN Statistical Yearbook,Adult literacy rate,Female,Percent,,,,,,,,,,,,,,,,87,,,95,,,87,,,87,,87,,,87,,86,,,,,,,,
ASEAN_ASEAN Statistical Yearbook,Adult literacy rate,Male,Percent,,,,,,,,,,,,,,,,92,,,95,,,93,,,93,,93,,,93,,93,,,,,,,,
ASEAN_ASEAN Statistical Yearbook,Adult literacy rate,Total,Percent,,,,,,,,,,,,,,,,89,,,96,,,89,,,90,,90,,,90,,89,,,,,,,,
ASEAN_ASEAN Statistical Yearbook,Agricultural land,Hectares,In thousand,,,,,,,,,,,,,,,,"12,588",,,"12,593",,,"12,587",,,"12,645",,,,,"12,760",,"12,871",,"12,889",,"12,798",,,,
ASEAN_ASEAN Statistical Yearbook,Average annual population growth rate,Total,Percent,,,,,,,,,,,,,,,,1,,,1,,,1,,,2,,1,,,1,,1,,0,,1,,1,,
ASEAN_ASEAN Statistical Yearbook,Children Immunized (DPT3),Total,Percent,,,,,,,,,,,,,,,,84,,,85,,,90,,,92,,90,,,90,,89,,92,,90,,,,
ASEAN_ASEAN Statistical Yearbook,Children Immunized (Measles),Total,Percent,,,,,,,,,,,,,,,,85,,,84,,,86,,,88,,91,,,91,,83,,94,,84,,,,
ASEAN_ASEAN Statistical Yearbook,Crude birth rate (CBR),Total,Per 1000 population,,,,,,,,,,,,,,,,,,,17,,,17,,,21,,18,,,18,,20,,20,,20,,,,
ASEAN_ASEAN Statistical Yearbook,Crude death rate (CDR),Total,Per 1000 population,,,,,,,,,,,,,,,,,,,9,,,9,,,10,,8,,,8,,9,,9,,9,,,,
ASEAN_ASEAN Statistical Yearbook,HIV prevalence rate,15-49 yr Total,Percent,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,1,,1,,1,,1,,,,
ASEAN_ASEAN Statistical Yearbook,Human development index,Total,Index,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,,,1,,1,,1,,1,,,,
ASEAN_ASEAN Statistical Yearbook,Incidence of malaria,Total,Per 1000 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,2,,1,,
ASEAN_ASEAN Statistical Yearbook,Incidence of tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,384,,,381,,,376,,,373,,369,,,365,,358,,338,,338,,322,,
ASEAN_ASEAN Statistical Yearbook,Infant mortality rate,Total,Deaths per 1000 live births,,,,,,,,,,,,,,,,27,,,26,,,35,,,46,,39,,,44,,39,,42,,41,,,,
ASEAN_ASEAN Statistical Yearbook,Internet users,Total,Per 100 population,,,,,,,,,,,,,,,,1,,,4,,,8,,,12,,22,,,25,,89,,33,,33,,,,
ASEAN_ASEAN Statistical Yearbook,Labour force participation rate,15-64 yr Female,Percent,,,,,,,,,,,,,,,,50,,,50,,,51,,,51,,52,,,,,48,,50,,46,,,,
ASEAN_ASEAN Statistical Yearbook,Labour force participation rate,15-64 yr Male,Percent,,,,,,,,,,,,,,,,82,,,83,,,84,,,85,,80,,,,,77,,77,,75,,,,
ASEAN_ASEAN Statistical Yearbook,Labour force participation rate,15-64 yr Total,Percent,,,,,,,,,,,,,,,,66,,,66,,,67,,,67,,65,,,,,61,,62,,59,,,,
ASEAN_ASEAN Statistical Yearbook,Land area covered by forest,Total,Percent,,,,,,,,,,,,,,,,48,,,48,,,,,,,,45,,,45,,45,,45,,,,44,,
ASEAN_ASEAN Statistical Yearbook,Life expectancy at birth,Female,Years,,,,,,,,,,,,,,,,69,,,70,,,66,,,59,,60,,,60,,69,,71,,62,,,,
ASEAN_ASEAN Statistical Yearbook,Life expectancy at birth,Male,Years,,,,,,,,,,,,,,,,65,,,67,,,69,,,69,,69,,,70,,64,,61,,71,,,,
ASEAN_ASEAN Statistical Yearbook,Life expectancy at birth,Total,Years,,,,,,,,,,,,,,,,67,,,67,,,68,,,64,,64,,,65,,67,,66,,67,,,,
ASEAN_ASEAN Statistical Yearbook,Maternal mortality ratio,Total,"Deaths per 100,000 live births",,,,,,,,,,,,,,,,148,,,146,,,143,,,209,,180,,,203,,202,,208,,,,,,
ASEAN_ASEAN Statistical Yearbook,Mobile Phone,Total,Per 100 population,,,,,,,,,,,,,,,,2,,,7,,,13,,,52,,76,,,89,,106,,114,,114,,,,
ASEAN_ASEAN Statistical Yearbook,Net enrolment ratio in Primary education,Female,Percent,,,,,,,,,,,,,,,,85,,,83,,,95,,,94,,95,,,95,,95,,97,,97,,,,
ASEAN_ASEAN Statistical Yearbook,Net enrolment ratio in Primary education,Male,Percent,,,,,,,,,,,,,,,,89,,,86,,,85,,,95,,85,,,96,,99,,97,,97,,,,
ASEAN_ASEAN Statistical Yearbook,Net enrolment ratio in Primary education,Total,Percent,,,,,,,,,,,,,,,,86,,,87,,,87,,,95,,95,,,95,,97,,97,,97,,,,
ASEAN_ASEAN Statistical Yearbook,Net enrolment ratio in Secondary education,Female,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,50,,64,,61,,66,,65,,
ASEAN_ASEAN Statistical Yearbook,Net enrolment ratio in Secondary education,Male,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,45,,58,,55,,60,,61,,
ASEAN_ASEAN Statistical Yearbook,Net enrolment ratio in Secondary education,Total,Percent,,,,,,,,,,,,,,,,47,,,48,,,41,,,44,,46,,,48,,61,,58,,63,,63,,
ASEAN_ASEAN Statistical Yearbook,Population by 5-year age group,0-4 yr Total,In thousand,,,,,,,,,,,,,,,,,,,"5,736",,,"5,735",,,"4,843",,,,,"4,938",,"4,976",,"4,986",,"5,030",,"4,998",,
ASEAN_ASEAN Statistical Yearbook,Population by 5-year age group,65+ yr Total,In thousand,,,,,,,,,,,,,,,,,,,"3,577",,,"3,626",,,"3,020",,,,,"3,126",,"3,227",,"3,284",,"3,314",,"3,607",,
ASEAN_ASEAN Statistical Yearbook,Population density,Total,Number per square kilometer,,,,,,,,,,,,,,,,89,,,89,,,76,,,77,,78,,,78,,79,,79,,80,,81,,
ASEAN_ASEAN Statistical Yearbook,Population size,65+ yr Total,Percent,,,,,,,,,,,,,,,,6,,,6,,,6,,,6,,,,,6,,6,,6,,6,,7,,
ASEAN_ASEAN Statistical Yearbook,Population size,Female,In thousand,,,,,,,,,,,,,,,,"30,537",,,"30,837",,,"31,136",,,"26,662",,,,,"27,466",,"27,740",,"27,877",,"28,150",,"28,564",,
ASEAN_ASEAN Statistical Yearbook,Population size,Male,In thousand,,,,,,,,,,,,,,,,"29,847",,,"30,139",,,"30,432",,,"24,824",,,,,"25,451",,"25,648",,"25,748",,"25,950",,"26,253",,
